-80,-87,-76
-80,-87,-75
-80,-89,-76
-80,-89,-78
-80,-89,-75
-80,-90,-78
-81,-89,-76
-80,-89,-73
-81,-90,-74
-81,-86,-78
-81,-89,-74
-79,-88,-78
-79,-90,-76
-81,-89,-74
-77,-90,-86
-78,-92,-85
-77,-92,-83
-76,-89,-83
-77,-88,-84
-69,-91,-78
-71,-86,-79
-67,-85,-80
-69,-84,-85
-69,-86,-84
-69,-84,-84
-69,-86,-85
-68,-85,-80
-70,-82,-80
-73,-88,-77
-69,-83,-77
-72,-83,-72
-69,-84,-86
-73,-86,-78
-83,-84,-78
-79,-88,-74
-72,-87,-74
-76,-82,-79
-76,-82,-80
-76,-84,-75
-68,-81,-77
-67,-84,-77
-67,-86,-84
-67,-88,-86
-68,-85,-85
-66,-83,-79
-66,-83,-79
-68,-82,-76
-67,-80,-75
-67,-84,-74
-67,-81,-76
-67,-81,-77
-66,-81,-76
-67,-84,-75
-67,-83,-78
-67,-82,-77
-69,-86,-82
-72,-85,-74
-67,-83,-76
-70,-89,-75
-77,-82,-77
-75,-85,-76
-72,-82,-81
-73,-85,-72
-75,-84,-76
-73,-82,-76
-69,-83,-75
-68,-84,-76
-70,-83,-73
-70,-85,-79
-73,-87,-75
-72,-86,-76
-72,-84,-76
-68,-82,-85
-73,-84,-73
-73,-84,-75
-66,-90,-74
-69,-82,-75
-73,-84,-83
-74,-85,-76
-75,-85,-79
-68,-84,-76
-74,-83,-75
-74,-85,-76
-75,-87,-74
-74,-86,-74
-74,-86,-74
-73,-86,-79
-75,-86,-80
-72,-89,-74
-72,-90,-80
-72,-87,-79
-73,-85,-77
-72,-83,-75
-73,-87,-74
-75,-91,-74
-75,-82,-75
-67,-85,-74
-72,-88,-80
-75,-88,-72
-76,-85,-77
-72,-82,-80
-73,-86,-76
-77,-88,-75
-73,-84,-76
-70,-84,-85
-71,-87,-73
-69,-85,-83
-73,-89,-76
-79,-84,-72
-79,-89,-77
-70,-88,-87
-70,-82,-71
-73,-82,-79
-68,-85,-81
-69,-85,-87
-68,-83,-76
-69,-82,-81
-67,-83,-76
-68,-82,-82
-68,-83,-76
-67,-82,-76
-68,-83,-78
-67,-82,-78
-67,-82,-78
-67,-82,-79
-68,-81,-74
-75,-82,-82
-86,-85,-76
-72,-87,-79
-72,-85,-81
-78,-82,-71
-73,-81,-76
-74,-88,-72
-73,-82,-72
-84,-83,-71
-69,-84,-89
-70,-82,-79
-82,-86,-80
-85,-90,-71
-79,-87,-81
-69,-89,-75
-74,-84,-84
-77,-86,-78
-68,-85,-86
-72,-86,-73
-79,-86,-73
-74,-82,-72
-73,-85,-73
-73,-85,-75
-74,-90,-78
-73,-87,-72
-74,-83,-72
-74,-85,-76
-68,-83,-73
-69,-87,-78
-75,-83,-70
-78,-83,-75
-71,-85,-77
-72,-84,-82
-83,-88,-77
-67,-84,-76
-81,-86,-75
-69,-86,-83
-72,-84,-75
-72,-84,-76
-72,-83,-78
-71,-84,-81
-74,-86,-77
-74,-90,-77
-72,-83,-79
-72,-83,-73
-69,-82,-81
-71,-83,-76
-69,-82,-74
-69,-86,-75
-69,-85,-80
-68,-85,-81
-75,-82,-75
-72,-85,-76
-71,-82,-77
-78,-83,-74
-79,-82,-75
-74,-83,-81
-74,-83,-70
-76,-88,-81
-66,-85,-77
-70,-82,-81
-67,-83,-86
-73,-85,-71
-67,-83,-75
-73,-82,-76
-74,-81,-79
-71,-82,-77
-68,-86,-83
-72,-88,-73
-74,-83,-75
-74,-85,-77
-66,-84,-78
-68,-84,-79
-69,-89,-79
-70,-88,-81
-66,-85,-81
-69,-82,-77
-72,-86,-79
-77,-86,-77
-74,-81,-75
-70,-86,-80
-66,-82,-81
-68,-85,-89
-66,-82,-82
-67,-83,-84
-67,-81,-87
-68,-81,-84
-66,-80,-89
-66,-82,-79
-67,-83,-79
-67,-83,-77
-67,-86,-82
-68,-84,-85
-68,-87,-78
-68,-87,-82
-68,-85,-81
-67,-84,-81
-68,-83,-76
-67,-84,-77
-67,-86,-79
-74,-88,-81
-69,-87,-79
-72,-83,-77
-72,-80,-77
-68,-82,-76
-69,-89,-83
-72,-84,-83
-67,-85,-83
-67,-83,-85
-68,-86,-84
-68,-83,-82
-67,-85,-85
-67,-87,-81
-68,-83,-78
-74,-81,-78
-71,-81,-82
-72,-88,-82
-68,-83,-86
-71,-88,-79
-74,-84,-72
-73,-89,-81
-66,-82,-83
-75,-84,-80
-67,-88,-79
-67,-83,-79
-68,-81,-77
-70,-82,-72
-72,-87,-86
-68,-81,-77
-67,-82,-77
-67,-87,-82
-68,-83,-79
-69,-83,-74
-69,-80,-83
-73,-89,-81
-71,-86,-74
-72,-88,-77
-72,-89,-78
-72,-88,-82
-72,-83,-81
-72,-82,-80
-76,-84,-77
-68,-90,-71
-71,-84,-76
-73,-83,-70
-70,-82,-84
-71,-85,-76
-70,-83,-76
-67,-81,-85
-67,-81,-77
-68,-81,-79
-67,-84,-74
-67,-81,-77
-67,-81,-77
-69,-84,-77
-71,-83,-75
-68,-83,-78
-68,-86,-91
-68,-87,-86
-69,-88,-86
-68,-85,-88
-66,-82,-80
-68,-86,-82
-68,-89,-85
-70,-87,-83
-69,-90,-87
-69,-85,-86
-67,-84,-81
-74,-85,-75
-83,-88,-77
-69,-86,-79
-70,-86,-73
-71,-84,-74
-67,-83,-76
-69,-82,-87
-69,-81,-77
-68,-81,-77
-68,-82,-78
-69,-81,-77
-68,-83,-81
-68,-83,-79
-69,-81,-77
-69,-82,-77
-69,-84,-78
-69,-82,-78
-69,-80,-79
-68,-82,-78
-69,-83,-76
-83,-91,-75
-82,-83,-78
-89,-86,-75
-84,-83,-70
-85,-85,-71
-84,-87,-77
-84,-87,-70
-84,-88,-71
-84,-90,-70
-82,-91,-75
-83,-86,-71
-82,-90,-75
-85,-94,-75
-83,-86,-80
-81,-87,-69
-85,-85,-69
-83,-86,-77
